ID_number,Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem,Aggression_component,Shyness_component,Extraversion_component
3018,7.4164,2,1,SIB,4,0,1,3,3,1,1,1,2,2,1,0,1,-0.503919078,-0.029896037,-1.251303105
3019,2.2164,2,0,SIB,4,0,1,3,4,1,1,2,1,1,1,0,1,0.082207319,-1.155401527,-0.7574661
3020,0.937,1,1,other,6,2,1,5,5,1,1,1,2,1,3,0,1,-0.402461856,-0.175096499,1.401121768
3021,1.7918,1,0,other,6,2,1,4,4,1,1,1,1,1,3,0,1,-0.348277591,-0.919846395,-0.055663218
3022,11.6219,1,1,CRX,4,1,1,4,4,1,1,1,3,2,4,0,1,-0.558103343,0.71485386,0.205481882
3023,11.0219,2,1,MCO,5,5,1,3,4,1,1,1,2,1,1,2,1,-0.410563945,-0.549508548,-0.686793141
3024,0.4082,1,0,BRI,8,4,1,4,3,1,1,1,3,4,1,0,1,-0.717250118,1.750287298,-0.305230295
3025,8.3014,2,1,HCS,1,0,0,2,4,1,1,1,5,3,2,4,2,-0.748467692,1.971350481,-1.002980178
3026,0.5781,1,0,other,8,1,1,5,5,1,1,1,2,1,3,0,1,-0.402461856,-0.175096499,1.401121768
3027,1.137,2,0,SIB,4,0,1,1,5,1,1,1,1,1,1,0,1,-0.291521993,-1.49094343,-1.641766206
3028,2.2712,2,1,HCS,2,1,1,2,4,1,1,4,1,1,2,4,1,0.933446435,-1.437409974,-1.426268283
3029,0.4219,2,0,MCO,5,5,1,5,5,1,1,1,2,1,1,5,1,-0.402461856,-0.175096499,1.401121768
3030,5.2959,1,1,HCS,5,1,1,3,4,1,1,2,1,1,2,0,1,0.082207319,-1.155401527,-0.7574661
3031,2.8658,1,1,MCO,5,5,1,3,4,1,1,4,1,1,1,1,1,0.923715733,-1.248308157,-0.691464703
3032,0.2521,1,0,ORI,8,5,1,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
3033,0.2521,1,0,ORI,8,5,1,5,5,1,1,1,1,1,1,0,1,-0.3304448,-0.734536162,1.297448112
3034,1.611,2,1,MCO,5,5,1,2,5,1,1,3,3,1,1,0,1,0.396221609,-0.275868915,-0.633613918
